image_id,date,wse_m,boundary_area_m2,boundary_perimeter_m,perimeter_ratio,is_outlier,dem_extent_m2,pct_diff,expansion_volume_m3,expansion_pixel_count,excluded_from_volume_calc
20220531,2022-05-31,997.3091,41465385.93554463,65780.52826942125,1.0073015194536563,False,40563244.16134647,-2.1756502534438797,0.0,0.0,False
20220731,2022-07-31,996.97034,41213725.33531933,65361.74889412642,1.00088872356788,False,40278972.48373479,-2.2680620205509108,0.0,0.0,False
20220831,2022-08-31,996.95337,41337319.78330639,64641.12560072835,0.9898537720785804,False,40253942.27312747,-2.6208218526456895,0.0,0.0,False
20220930,2022-09-30,997.19775,41577333.360946566,65240.45135863503,0.999031286496137,False,40464911.191103436,-2.6755495841588144,0.0,0.0,False
20221031,2022-10-31,997.20557,41523601.117897816,65840.17887136244,1.0082149530114652,False,40473850.552034624,-2.5280817116093544,0.0,0.0,False
20221130,2022-11-30,997.20557,41533449.65458456,65539.51032155185,1.0036107958992622,False,40473850.552034624,-2.551194546473151,0.0,0.0,False
20221231,2022-12-31,996.9856,41363290.69563732,65839.36700519909,1.0082025208519578,False,40295063.33341092,-2.582549270769389,0.0,0.0,False
20230131,2023-01-31,997.2963,41722376.16631912,71466.01599452957,1.0943637637834724,False,40550729.05604281,-2.8081984247630896,0.0,0.0,False
20230228,2023-02-28,1349.6826,51035574.08915076,157561.36270120178,2.412747422855344,True,253716941.94890156,397.13743105093675,,,True
20230331,2023-03-31,996.82605,41061479.41517182,64522.21201276496,0.9880328405508095,False,40069791.437945046,-2.415129682006422,0.0,0.0,False
20230430,2023-04-30,996.9558,41123274.19853759,64761.62563688808,0.9916989969910465,False,40259305.889686175,-2.1009229583235314,0.0,0.0,False
20230531,2023-05-31,997.48645,41751075.66425104,65660.4166695064,1.0054622426907411,False,40713425.424990386,-2.4853257616764335,0.0,0.0,False
20230630,2023-06-30,997.01636,41326570.69455277,65182.79977476655,0.9981484640324473,False,40326351.09667006,-2.4202821116598208,0.0,0.0,False
20230731,2023-07-31,996.9712,41205665.46879142,65482.26318948945,1.0027341668324563,False,40278972.48373479,-2.2489455624943013,0.0,0.0,False
20230831,2023-08-31,998.71246,43691854.05379771,93362.8468653485,1.4296713629723485,False,41649376.51448549,-4.674733044739448,0.0,0.0,False
20230930,2023-09-30,997.1367,41398217.08686378,65899.44004918677,1.0091224232923752,False,40423790.130819984,-2.353789666833246,0.0,0.0,False
20231031,2023-10-31,996.9856,41212827.63560062,64880.92576797128,0.9935258476788205,False,40295063.33341092,-2.226889914723817,0.0,0.0,False
20231130,2023-11-30,997.0746,41314929.04930169,64762.02408295641,0.9917050984216766,False,40377305.45397782,-2.2694546908333995,0.0,0.0,False
20231231,2023-12-31,997.11084,41477926.80838961,65120.73299316922,0.9971980313579859,False,40402335.66458514,-2.59316515208979,0.0,0.0,False
20240131,2024-01-31,996.79395,41154627.51705638,65303.711946249736,1.0,False,40027776.44156848,-2.738090813775158,0.0,0.0,False
20240229,2024-02-29,997.01556,41563879.325257264,71642.31214504834,1.0970633982340205,False,40325457.16057695,-2.979563469013733,0.0,0.0,False
20240331,2024-03-31,1002.2305,46611137.16079575,132498.79044841943,2.028962619421645,True,44357108.94054152,-4.835814694840941,,,True
20240430,2024-04-30,996.9656,41105360.93379036,64040.982245126856,0.9806637377342009,False,40272714.93108296,-2.0256384661080453,0.0,0.0,False
20240531,2024-05-31,997.2556,41660624.59324688,65180.78907585497,0.9981176740688807,False,40523017.03715614,-2.730654106120001,0.0,0.0,False
20240630,2024-06-30,997.4668,41760032.9667277,65480.65661102997,1.0027095651917286,False,40698228.511407375,-2.542633182704414,0.0,0.0,False
20240731,2024-07-31,997.7003,41894367.235350624,66200.89107957445,1.013738562580687,False,40883273.28268291,-2.4134365056468696,0.0,0.0,False
20240831,2024-08-31,997.839,42068113.23287405,65898.22413255984,1.0091038038817677,False,41014681.88837133,-2.504108845270282,0.0,0.0,False
20240930,2024-09-30,998.1597,42350217.074578494,65716.87416414199,1.0063267799881317,False,41249787.08086151,-2.598404612139612,0.0,0.0,False
20241031,2024-10-31,997.7546,42073487.43578592,66797.41487321303,1.0228731703366682,False,40935121.57608379,-2.705660807033284,0.0,0.0,False
20241130,2024-11-30,998.33813,42506047.43758934,66378.65208788338,1.016460628494111,False,41391028.983574234,-2.62319957096049,0.0,0.0,False
20241231,2024-12-31,998.1597,42390517.7464765,65777.73048931392,1.0072586768644076,False,41249787.08086151,-2.6910043242154313,0.0,0.0,False
20250131,2025-01-31,998.19714,42434400.041387424,66617.2627547646,1.0201144891977354,False,41281074.84412066,-2.717901504774182,0.0,0.0,False
20250228,2025-02-28,998.0885,42269615.49858672,65839.78011589216,1.0082088468429429,False,41201514.531833105,-2.5268764670672925,0.0,0.0,False
20250331,2025-03-31,998.1597,42352007.63982086,66256.94425363066,1.0145969084906767,False,41249787.08086151,-2.6025225730338297,0.0,0.0,False
20250430,2025-04-30,998.32947,42415594.50006479,65059.50154280597,0.9962603901651904,False,41377619.94217746,-2.4471531523287857,0.0,0.0,False
20250531,2025-05-31,998.3109,42474702.164095126,65718.4822505584,1.0063514047203022,False,41365104.8368738,-2.6123722373250575,0.0,0.0,False
20250630,2025-06-30,998.31903,42453207.56501009,66377.45506386356,1.0164422983872279,False,41369574.51733939,-2.552535155350262,0.0,0.0,False
20250731,2025-07-31,998.2953,42463060.365513004,65776.9308589444,1.007246432072409,False,41353483.667663254,-2.6130398711226888,0.0,0.0,False
20250831,2025-08-31,998.6614,42658292.644412,66077.59654048842,1.0118505452626592,False,41610937.26248139,-2.455221053175014,0.0,0.0,False
20250930,2025-09-30,998.6415,42717401.56497344,66495.96965755928,1.0182571200897566,False,41598422.15717773,-2.61949314986711,0.0,0.0,False
20251031,2025-10-31,998.82416,42858902.25950227,66795.83568104019,1.0228489880639342,False,41738770.12379734,-2.613534357279489,0.0,0.0,False
20251130,2025-11-30,999.3767,43256543.35156268,68709.16888924372,1.052147984264615,False,42195571.46738091,-2.4527431042255,0.0,0.0,False
20251231,2025-12-31,998.67163,42790841.30177179,66614.46959896642,1.0200717174208342,False,41623452.36778505,-2.728128025700681,0.0,0.0,False
